month,position,post_nil,transfer_count
2020-12,APB,False,1
2020-10,ATH,False,1
2020-11,ATH,False,1
2021-01,ATH,False,1
2021-02,ATH,False,1
2021-03,ATH,False,1
2021-05,ATH,False,1
2021-08,ATH,True,1
2021-10,ATH,True,1
2021-11,ATH,True,4
2021-12,ATH,True,14
2022-01,ATH,True,5
2022-02,ATH,True,2
2022-03,ATH,True,1
2022-04,ATH,True,1
2022-05,ATH,True,1
2022-08,ATH,True,1
2022-09,ATH,True,1
2022-12,ATH,True,19
2023-01,ATH,True,3
2023-02,ATH,True,1
2023-04,ATH,True,3
2020-08,CB,False,9
2020-09,CB,False,9
2020-10,CB,False,9
2020-11,CB,False,21
2020-12,CB,False,43
2021-01,CB,False,49
2021-02,CB,False,10
2021-03,CB,False,18
2021-04,CB,False,9
2021-05,CB,False,27
2021-06,CB,False,15
2021-07,CB,True,1
2021-08,CB,True,8
2021-09,CB,True,10
2021-10,CB,True,15
2021-11,CB,True,28
2021-12,CB,True,55
2022-01,CB,True,51
2022-02,CB,True,16
2022-03,CB,True,16
2022-04,CB,True,34
2022-05,CB,True,15
2022-06,CB,True,6
2022-07,CB,True,1
2022-08,CB,True,6
2022-09,CB,True,1
2022-10,CB,True,6
2022-11,CB,True,21
2022-12,CB,True,119
2023-01,CB,True,27
2023-02,CB,True,8
2023-03,CB,True,4
2023-04,CB,True,89
2023-05,CB,True,7
2023-06,CB,True,4
2020-08,DL,False,10
2020-09,DL,False,9
2020-10,DL,False,6
2020-11,DL,False,4
2020-12,DL,False,27
2021-01,DL,False,24
2021-02,DL,False,9
2021-03,DL,False,9
2021-04,DL,False,13
2021-05,DL,False,26
2021-06,DL,False,13
2021-07,DL,True,3
2021-08,DL,True,6
2021-09,DL,True,9
2021-10,DL,True,4
2021-11,DL,True,30
2021-12,DL,True,49
2022-01,DL,True,42
2022-02,DL,True,11
2022-03,DL,True,4
2022-04,DL,True,38
2022-05,DL,True,9
2022-06,DL,True,6
2022-07,DL,True,2
2022-08,DL,True,7
2022-09,DL,True,1
2022-10,DL,True,5
2022-11,DL,True,11
2022-12,DL,True,101
2023-01,DL,True,36
2023-02,DL,True,2
2023-03,DL,True,6
2023-04,DL,True,65
2023-05,DL,True,7
2023-06,DL,True,2
2020-10,DT,False,3
2020-11,DT,False,1
2020-12,DT,False,6
2021-01,DT,False,9
2021-12,DT,True,1
2022-04,DT,True,1
2022-12,DT,True,2
2023-01,DT,True,2
2023-02,DT,True,1
2020-08,DUAL,False,1
2020-09,DUAL,False,2
2020-10,DUAL,False,2
2020-11,DUAL,False,1
2020-12,DUAL,False,6
2021-01,DUAL,False,3
2021-12,DUAL,True,1
2022-01,DUAL,True,1
2022-07,DUAL,True,2
2020-08,EDGE,False,4
2020-09,EDGE,False,7
2020-11,EDGE,False,6
2020-12,EDGE,False,12
2021-01,EDGE,False,15
2021-02,EDGE,False,6
2021-03,EDGE,False,7
2021-04,EDGE,False,6
2021-05,EDGE,False,6
2021-06,EDGE,False,3
2021-07,EDGE,True,6
2021-08,EDGE,True,4
2021-10,EDGE,True,3
2021-11,EDGE,True,18
2021-12,EDGE,True,27
2022-01,EDGE,True,20
2022-02,EDGE,True,9
2022-03,EDGE,True,4
2022-04,EDGE,True,14
2022-05,EDGE,True,5
2022-06,EDGE,True,3
2022-07,EDGE,True,1
2022-08,EDGE,True,4
2022-09,EDGE,True,2
2022-10,EDGE,True,2
2022-11,EDGE,True,5
2022-12,EDGE,True,72
2023-01,EDGE,True,20
2023-02,EDGE,True,1
2023-03,EDGE,True,2
2023-04,EDGE,True,28
2023-05,EDGE,True,1
2020-08,ILB,False,1
2020-10,ILB,False,2
2020-11,ILB,False,1
2020-12,ILB,False,7
2021-01,ILB,False,2
2021-02,ILB,False,1
