Sport,year,total_transfers
All,2022,12448
All,2023,13853
All,2024,15075
Baseball,2022,1350
Baseball,2023,1461
Baseball,2024,1654
Beach Volleyball,2022,98
Beach Volleyball,2023,121
Beach Volleyball,2024,120
Field Hockey,2022,78
Field Hockey,2023,88
Field Hockey,2024,99
Football-FBS,2022,1974
Football-FBS,2023,2408
Football-FBS,2024,2902
Football-FCS,2022,1055
Football-FCS,2023,1267
Football-FCS,2024,1395
Men's Basketball,2022,1208
Men's Basketball,2023,1353
Men's Basketball,2024,1540
Men's Cross Country,2022,217
Men's Cross Country,2023,215
Men's Cross Country,2024,233
Men's Golf,2022,179
Men's Golf,2023,172
Men's Golf,2024,171
Men's Ice Hockey,2022,168
Men's Ice Hockey,2023,210
Men's Ice Hockey,2024,228
Men's Lacrosse,2022,203
Men's Lacrosse,2023,185
Men's Lacrosse,2024,216
Men's Soccer,2022,663
Men's Soccer,2023,694
Men's Soccer,2024,722
Men's Swim & Dive,2022,100
Men's Swim & Dive,2023,112
Men's Swim & Dive,2024,112
Men's Tennis,2022,186
Men's Tennis,2023,206
Men's Tennis,2024,181
Men's Track & Field,2022,512
Men's Track & Field,2023,584
Men's Track & Field,2024,582
Men's Wrestling,2022,129
Men's Wrestling,2023,143
Men's Wrestling,2024,150
Rowing,2022,66
Rowing,2023,89
Rowing,2024,69
Softball,2022,564
Softball,2023,595
Softball,2024,604
Women's Basketball,2022,998
Women's Basketball,2023,903
Women's Basketball,2024,1064
Women's Cross Country,2022,232
Women's Cross Country,2023,250
Women's Cross Country,2024,274
Women's Golf,2022,124
Women's Golf,2023,162
Women's Golf,2024,124
Women's Ice Hockey,2022,44
Women's Ice Hockey,2023,71
Women's Ice Hockey,2024,89
Women's Lacross,2022,180
Women's Lacross,2023,224
Women's Lacross,2024,207
Women's Soccer,2022,799
Women's Soccer,2023,897
Women's Soccer,2024,996
Women's Swim & Dive,2022,180
Women's Swim & Dive,2023,196
Women's Swim & Dive,2024,170
Women's Tennis,2022,233
Women's Tennis,2023,264
Women's Tennis,2024,236
Women's Track & Field,2022,685
Women's Track & Field,2023,723
Women's Track & Field,2024,688
Women's Volleyball,2022,650
Women's Volleyball,2023,638
Women's Volleyball,2024,653
